date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
2026-03-31,Haiti,Iceland,1.0,1.0,Friendly,Toronto,Canada,True,2026
2026-03-31,Hungary,Greece,0.0,0.0,Friendly,Budapest,Hungary,False,2026
2026-03-31,Ivory Coast,Scotland,1.0,0.0,Friendly,Liverpool,England,True,2026
2026-03-31,Jordan,Nigeria,2.0,2.0,Friendly,Antalya,Turkey,True,2026
2026-03-31,Liberia,Libya,2.0,2.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,2026
2026-03-31,Botswana,Malawi,1.0,0.0,Mukuru 4 Nations,Francistown,Botswana,False,2026
2026-03-31,Mexico,Belgium,1.0,1.0,Friendly,Chicago,United States,True,2026
2026-03-31,Montenegro,Slovenia,2.0,3.0,Friendly,Podgorica,Montenegro,False,2026
2026-03-31,Morocco,Paraguay,2.0,1.0,Friendly,Lens,France,True,2026
2026-03-31,Netherlands,Ecuador,1.0,1.0,Friendly,Eindhoven,Netherlands,False,2026
2026-03-31,Niger,Togo,0.0,1.0,"Morocco, Capital of African Football",Casablanca,Morocco,True,2026
2026-03-31,Norway,Switzerland,0.0,0.0,Friendly,Oslo,Norway,False,2026
2026-03-31,Peru,Honduras,2.0,2.0,Friendly,Madrid,Spain,True,2026
2026-03-31,Russia,Mali,0.0,0.0,Friendly,Saint Petersburg,Russia,False,2026
2026-03-31,Republic of Ireland,North Macedonia,0.0,0.0,Friendly,Dublin,Republic of Ireland,False,2026
2026-03-31,San Marino,Andorra,0.0,0.0,Friendly,Serravalle,San Marino,False,2026
2026-03-31,Senegal,Gambia,3.0,1.0,Friendly,Diamniadio,Senegal,False,2026
2026-03-31,Serbia,Saudi Arabia,2.0,1.0,Friendly,Backa Topola,Serbia,False,2026
2026-03-31,Slovakia,Romania,2.0,0.0,Friendly,Bratislava,Slovakia,False,2026
2026-03-31,South Africa,Panama,1.0,2.0,Friendly,Cape Town,South Africa,False,2026
2026-03-31,Spain,Egypt,0.0,0.0,Friendly,Barcelona,Spain,False,2026
2026-03-31,Ukraine,Albania,1.0,0.0,Friendly,Valencia,Spain,True,2026
2026-03-31,United States,Portugal,0.0,2.0,Friendly,Atlanta,United States,False,2026
2026-03-31,Wales,Northern Ireland,1.0,1.0,Friendly,Cardiff,Wales,False,2026
2026-03-31,DR Congo,Jamaica,1.0,0.0,FIFA World Cup qualification,Zapopan,Mexico,True,2026
2026-03-31,Iraq,Bolivia,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,2026
2026-03-31,Bosnia and Herzegovina,Italy,1.0,1.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,2026
2026-03-31,Sweden,Poland,3.0,2.0,FIFA World Cup qualification,Solna,Sweden,False,2026
2026-03-31,Kosovo,Turkey,0.0,1.0,FIFA World Cup qualification,Pristina,Kosovo,False,2026
2026-03-31,Czech Republic,Denmark,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,2026
